Text,Label,Asian,Black,Female,Mental Disability,Muslim,Physical Disability,No Disability,Not Asian,Not Black,Not Female,Not Muslim
You should know women's sports are a joke,Hateful,Hateful,Not Hateful,Hateful,Hateful,Not Hateful,Hateful,Hateful,Hateful,Not Hateful,Hateful,Not Hateful
You look like Sloth with deeper Down?s syndrome,Hateful,Hateful,Hateful,Hateful,Hateful,Not Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Not Hateful
You look like Russian and speak like Indian. Both are disgusting go kill yourself,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
"Women deserve to be abused, I guess.",Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
Women are made for making babies and cooking dinner and nothing else!!!,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
why haven't you faggots taken the bi-pill yet,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
Why don?t you go beck your god to murder you? Christianity is a joke,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
why does that african american monkey hold gun like that?,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
Why does Bulgaria exist as a country? It's one of those homosexual ones.,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
who gives aa fuck about shit diamonds from the jews fuck them both,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
white people are shit human beings,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
What about a global massacre of men? Pussiezzz only girls,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
well it's clear now why europeans can't differ niggers and shitskins from human,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
"Well im glad that i live in Serbia, migrants and islamists are not welcome here!",Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.",Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
